series,strategy,threshold_quantile,is_skab_setting,f1,precision,recall,event_f1,event_precision,event_recall,n_true_events,n_detected_events,alarm_rate,flag_everything_f1,n_adaptations,n_steps,seconds
rogue_agent_key_updown,static,0.8,False,0.06687565308254963,0.07494145199063232,0.06037735849056604,0.13943355119825707,0.07494145199063232,1.0,2,2,0.09895712630359212,0.21878224974200206,0,4315,0.16
rogue_agent_key_updown,online-no-reset,0.8,False,0.1622187336473051,0.11223750905141203,0.29245283018867924,0.20182291666666669,0.11223750905141203,1.0,2,2,0.32004634994206255,0.21878224974200206,0,4315,0.49
rogue_agent_key_updown,periodic,0.8,False,0.028729281767955802,0.034666666666666665,0.024528301886792454,0.06701030927835051,0.034666666666666665,1.0,2,2,0.08690614136732329,0.21878224974200206,4,4315,0.88
rogue_agent_key_updown,drift-triggered,0.8,False,0.06694560669456066,0.07511737089201878,0.06037735849056604,0.13973799126637554,0.07511737089201878,1.0,2,2,0.09872537659327926,0.21878224974200206,2,4315,0.66
rogue_agent_key_updown,static,0.9,False,0.06864988558352403,0.0872093023255814,0.05660377358490566,0.16042780748663102,0.0872093023255814,1.0,2,2,0.07972190034762457,0.21878224974200206,0,4315,0.14
rogue_agent_key_updown,online-no-reset,0.9,False,0.065081351689612,0.09665427509293681,0.04905660377358491,0.17627118644067796,0.09665427509293681,1.0,2,2,0.06234067207415991,0.21878224974200206,0,4315,0.48
rogue_agent_key_updown,periodic,0.9,False,0.02140309155766944,0.028938906752411574,0.016981132075471698,0.05625,0.028938906752411574,1.0,2,2,0.07207415990730012,0.21878224974200206,4,4315,0.89
rogue_agent_key_updown,drift-triggered,0.9,False,0.05787037037037037,0.0748502994011976,0.04716981132075472,0.13927576601671307,0.0748502994011976,1.0,2,2,0.07740440324449595,0.21878224974200206,2,4315,0.6
rogue_agent_key_updown,static,0.95,False,0.04788732394366197,0.09444444444444444,0.03207547169811321,0.17258883248730963,0.09444444444444444,1.0,2,2,0.04171494785631518,0.21878224974200206,0,4315,0.15
rogue_agent_key_updown,online-no-reset,0.95,False,0.05224963715529753,0.11320754716981132,0.033962264150943396,0.2033898305084746,0.11320754716981132,1.0,2,2,0.036848203939745076,0.21878224974200206,0,4315,0.47
rogue_agent_key_updown,periodic,0.95,False,0.020942408376963352,0.03418803418803419,0.01509433962264151,0.06611570247933884,0.03418803418803419,1.0,2,2,0.054229432213209736,0.21878224974200206,4,4315,0.86
